group,function,value,sample_time_nanos,iteration_count
alloc,,1073741824,926918,196
alloc,,1073741824,1840419,392
alloc,,1073741824,2758728,588
alloc,,1073741824,3668495,784
alloc,,1073741824,4654090,980
alloc,,1073741824,5517527,1176
alloc,,1073741824,6441520,1372
alloc,,1073741824,9252337,1568
alloc,,1073741824,10687457,1764
alloc,,1073741824,9209399,1960
alloc,,1073741824,10098268,2156
alloc,,1073741824,11026001,2352
alloc,,1073741824,11915121,2548
alloc,,1073741824,16254666,2744
alloc,,1073741824,13910120,2940
alloc,,1073741824,14710907,3136
alloc,,1073741824,15566483,3332
alloc,,1073741824,17293871,3528
alloc,,1073741824,21155137,3724
alloc,,1073741824,18818833,3920
alloc,,1073741824,20247742,4116
alloc,,1073741824,23263939,4312
alloc,,1073741824,21362943,4508
alloc,,1073741824,22131152,4704
alloc,,1073741824,24494917,4900
alloc,,1073741824,23968458,5096
alloc,,1073741824,28340833,5292
alloc,,1073741824,31984483,5488
alloc,,1073741824,28598592,5684
alloc,,1073741824,30233341,5880
alloc,,1073741824,28676152,6076
alloc,,1073741824,33748257,6272
alloc,,1073741824,33011567,6468
alloc,,1073741824,32693908,6664
alloc,,1073741824,33281191,6860
alloc,,1073741824,33093704,7056
alloc,,1073741824,34197849,7252
alloc,,1073741824,37626271,7448
alloc,,1073741824,43973463,7644
alloc,,1073741824,36750142,7840
alloc,,1073741824,38131979,8036
alloc,,1073741824,38650664,8232
alloc,,1073741824,48722959,8428
alloc,,1073741824,41755769,8624
alloc,,1073741824,44741444,8820
alloc,,1073741824,42485325,9016
alloc,,1073741824,43221338,9212
alloc,,1073741824,46817464,9408
alloc,,1073741824,45007357,9604
alloc,,1073741824,58454210,9800
alloc,,1073741824,49027099,9996
alloc,,1073741824,49411668,10192
alloc,,1073741824,51555261,10388
alloc,,1073741824,51375353,10584
alloc,,1073741824,58642287,10780
alloc,,1073741824,51983161,10976
alloc,,1073741824,57825362,11172
alloc,,1073741824,55003144,11368
alloc,,1073741824,58188105,11564
alloc,,1073741824,55022688,11760
alloc,,1073741824,57520877,11956
alloc,,1073741824,67257035,12152
alloc,,1073741824,58440316,12348
alloc,,1073741824,68744100,12544
alloc,,1073741824,60562178,12740
alloc,,1073741824,66449733,12936
alloc,,1073741824,65850605,13132
alloc,,1073741824,68216355,13328
alloc,,1073741824,68581463,13524
alloc,,1073741824,67608508,13720
alloc,,1073741824,68161560,13916
alloc,,1073741824,72866119,14112
alloc,,1073741824,75382910,14308
alloc,,1073741824,68674377,14504
alloc,,1073741824,70638600,14700
alloc,,1073741824,80728203,14896
alloc,,1073741824,74152800,15092
alloc,,1073741824,74173724,15288
alloc,,1073741824,82512133,15484
alloc,,1073741824,77382824,15680
alloc,,1073741824,77351340,15876
alloc,,1073741824,76420743,16072
alloc,,1073741824,91989905,16268
alloc,,1073741824,82138893,16464
alloc,,1073741824,83424206,16660
alloc,,1073741824,81918031,16856
alloc,,1073741824,87900621,17052
alloc,,1073741824,88042067,17248
alloc,,1073741824,85028173,17444
alloc,,1073741824,92040203,17640
alloc,,1073741824,89099885,17836
alloc,,1073741824,91878903,18032
alloc,,1073741824,91346271,18228
alloc,,1073741824,92200061,18424
alloc,,1073741824,89736620,18620
alloc,,1073741824,91219039,18816
alloc,,1073741824,103218821,19012
alloc,,1073741824,98357038,19208
alloc,,1073741824,98183931,19404
alloc,,1073741824,93167473,19600
