group,function,value,sample_time_nanos,iteration_count
detach_from_pool,,268435456,985345,73159
detach_from_pool,,268435456,1971495,146318
detach_from_pool,,268435456,2959863,219477
detach_from_pool,,268435456,3940461,292636
detach_from_pool,,268435456,4918364,365795
detach_from_pool,,268435456,5919951,438954
detach_from_pool,,268435456,6878927,512113
detach_from_pool,,268435456,7879236,585272
detach_from_pool,,268435456,8914228,658431
detach_from_pool,,268435456,9832020,731590
detach_from_pool,,268435456,10828980,804749
detach_from_pool,,268435456,11815111,877908
detach_from_pool,,268435456,12799341,951067
detach_from_pool,,268435456,13793531,1024226
detach_from_pool,,268435456,14800264,1097385
detach_from_pool,,268435456,15805692,1170544
detach_from_pool,,268435456,16722742,1243703
detach_from_pool,,268435456,17805710,1316862
detach_from_pool,,268435456,18822055,1390021
detach_from_pool,,268435456,19785554,1463180
detach_from_pool,,268435456,20784345,1536339
detach_from_pool,,268435456,21668557,1609498
detach_from_pool,,268435456,24094193,1682657
detach_from_pool,,268435456,23703956,1755816
detach_from_pool,,268435456,24610233,1828975
detach_from_pool,,268435456,25581220,1902134
detach_from_pool,,268435456,26599759,1975293
detach_from_pool,,268435456,27551370,2048452
detach_from_pool,,268435456,28615082,2121611
detach_from_pool,,268435456,29586905,2194770
detach_from_pool,,268435456,30803109,2267929
detach_from_pool,,268435456,31517520,2341088
detach_from_pool,,268435456,32459066,2414247
detach_from_pool,,268435456,33434844,2487406
detach_from_pool,,268435456,34841453,2560565
detach_from_pool,,268435456,35777503,2633724
detach_from_pool,,268435456,36791566,2706883
detach_from_pool,,268435456,37389526,2780042
detach_from_pool,,268435456,38807328,2853201
detach_from_pool,,268435456,39640885,2926360
detach_from_pool,,268435456,40513954,2999519
detach_from_pool,,268435456,41679622,3072678
detach_from_pool,,268435456,42397300,3145837
detach_from_pool,,268435456,43310390,3218996
detach_from_pool,,268435456,44293792,3292155
detach_from_pool,,268435456,45682292,3365314
detach_from_pool,,268435456,46235306,3438473
detach_from_pool,,268435456,47640507,3511632
detach_from_pool,,268435456,48411100,3584791
detach_from_pool,,268435456,49545234,3657950
detach_from_pool,,268435456,50199402,3731109
detach_from_pool,,268435456,51225045,3804268
detach_from_pool,,268435456,52485313,3877427
detach_from_pool,,268435456,53532133,3950586
detach_from_pool,,268435456,54127501,4023745
detach_from_pool,,268435456,55418401,4096904
detach_from_pool,,268435456,56112745,4170063
detach_from_pool,,268435456,57641236,4243222
detach_from_pool,,268435456,58443667,4316381
detach_from_pool,,268435456,59019555,4389540
detach_from_pool,,268435456,60434946,4462699
detach_from_pool,,268435456,61007157,4535858
detach_from_pool,,268435456,62329397,4609017
detach_from_pool,,268435456,62936269,4682176
detach_from_pool,,268435456,64295436,4755335
detach_from_pool,,268435456,65386521,4828494
detach_from_pool,,268435456,65887237,4901653
detach_from_pool,,268435456,67295466,4974812
detach_from_pool,,268435456,67881263,5047971
detach_from_pool,,268435456,69612518,5121130
detach_from_pool,,268435456,69944567,5194289
detach_from_pool,,268435456,71101397,5267448
detach_from_pool,,268435456,72417416,5340607
detach_from_pool,,268435456,73116856,5413766
detach_from_pool,,268435456,74133489,5486925
detach_from_pool,,268435456,75145809,5560084
detach_from_pool,,268435456,75819858,5633243
detach_from_pool,,268435456,77205062,5706402
detach_from_pool,,268435456,78266965,5779561
detach_from_pool,,268435456,78952617,5852720
detach_from_pool,,268435456,79929293,5925879
detach_from_pool,,268435456,80883692,5999038
detach_from_pool,,268435456,82129254,6072197
detach_from_pool,,268435456,82806460,6145356
detach_from_pool,,268435456,83791158,6218515
detach_from_pool,,268435456,85333034,6291674
detach_from_pool,,268435456,85784327,6364833
detach_from_pool,,268435456,86897382,6437992
detach_from_pool,,268435456,87928209,6511151
detach_from_pool,,268435456,88816652,6584310
detach_from_pool,,268435456,89929604,6657469
detach_from_pool,,268435456,90799304,6730628
detach_from_pool,,268435456,91779188,6803787
detach_from_pool,,268435456,97205088,6876946
detach_from_pool,,268435456,93627304,6950105
detach_from_pool,,268435456,94446651,7023264
detach_from_pool,,268435456,96099546,7096423
detach_from_pool,,268435456,96833406,7169582
detach_from_pool,,268435456,97704469,7242741
detach_from_pool,,268435456,98764115,7315900
