group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
alloc,,67108864,,,1004155.0,ns,277
alloc,,67108864,,,1954651.0,ns,554
alloc,,67108864,,,2922891.0,ns,831
alloc,,67108864,,,3920861.0,ns,1108
alloc,,67108864,,,4884984.0,ns,1385
alloc,,67108864,,,5875378.0,ns,1662
alloc,,67108864,,,6924401.0,ns,1939
alloc,,67108864,,,7820595.0,ns,2216
alloc,,67108864,,,8651172.0,ns,2493
alloc,,67108864,,,9642487.0,ns,2770
alloc,,67108864,,,11720836.0,ns,3047
alloc,,67108864,,,11512040.0,ns,3324
alloc,,67108864,,,12573625.0,ns,3601
alloc,,67108864,,,13593701.0,ns,3878
alloc,,67108864,,,14544364.0,ns,4155
alloc,,67108864,,,15773908.0,ns,4432
alloc,,67108864,,,16626041.0,ns,4709
alloc,,67108864,,,17513871.0,ns,4986
alloc,,67108864,,,18518156.0,ns,5263
alloc,,67108864,,,19778578.0,ns,5540
alloc,,67108864,,,21065987.0,ns,5817
alloc,,67108864,,,21259328.0,ns,6094
alloc,,67108864,,,22612267.0,ns,6371
alloc,,67108864,,,23277330.0,ns,6648
alloc,,67108864,,,24286649.0,ns,6925
alloc,,67108864,,,25187085.0,ns,7202
alloc,,67108864,,,26719633.0,ns,7479
alloc,,67108864,,,27304621.0,ns,7756
alloc,,67108864,,,28329954.0,ns,8033
alloc,,67108864,,,28999667.0,ns,8310
alloc,,67108864,,,30469537.0,ns,8587
alloc,,67108864,,,31518203.0,ns,8864
alloc,,67108864,,,32149136.0,ns,9141
alloc,,67108864,,,33009014.0,ns,9418
alloc,,67108864,,,33832837.0,ns,9695
alloc,,67108864,,,35886969.0,ns,9972
alloc,,67108864,,,35991882.0,ns,10249
alloc,,67108864,,,37190447.0,ns,10526
alloc,,67108864,,,38319537.0,ns,10803
alloc,,67108864,,,39123755.0,ns,11080
alloc,,67108864,,,39845317.0,ns,11357
alloc,,67108864,,,40897107.0,ns,11634
alloc,,67108864,,,41626042.0,ns,11911
alloc,,67108864,,,42654850.0,ns,12188
alloc,,67108864,,,43824916.0,ns,12465
alloc,,67108864,,,44574379.0,ns,12742
alloc,,67108864,,,46374739.0,ns,13019
alloc,,67108864,,,47055998.0,ns,13296
alloc,,67108864,,,47657086.0,ns,13573
alloc,,67108864,,,48797119.0,ns,13850
alloc,,67108864,,,50552171.0,ns,14127
alloc,,67108864,,,50877398.0,ns,14404
alloc,,67108864,,,53259464.0,ns,14681
alloc,,67108864,,,52866863.0,ns,14958
alloc,,67108864,,,54253172.0,ns,15235
alloc,,67108864,,,54487518.0,ns,15512
alloc,,67108864,,,55217489.0,ns,15789
alloc,,67108864,,,57518646.0,ns,16066
alloc,,67108864,,,58523862.0,ns,16343
alloc,,67108864,,,58500710.0,ns,16620
alloc,,67108864,,,59818460.0,ns,16897
alloc,,67108864,,,60726530.0,ns,17174
alloc,,67108864,,,61434541.0,ns,17451
alloc,,67108864,,,63297060.0,ns,17728
alloc,,67108864,,,63661032.0,ns,18005
alloc,,67108864,,,64743857.0,ns,18282
alloc,,67108864,,,65310179.0,ns,18559
alloc,,67108864,,,66910939.0,ns,18836
alloc,,67108864,,,67106490.0,ns,19113
alloc,,67108864,,,68210431.0,ns,19390
alloc,,67108864,,,69341892.0,ns,19667
alloc,,67108864,,,70472702.0,ns,19944
alloc,,67108864,,,73382313.0,ns,20221
alloc,,67108864,,,73308546.0,ns,20498
alloc,,67108864,,,75403009.0,ns,20775
alloc,,67108864,,,75352961.0,ns,21052
alloc,,67108864,,,75519319.0,ns,21329
alloc,,67108864,,,75906342.0,ns,21606
alloc,,67108864,,,77376474.0,ns,21883
alloc,,67108864,,,78340581.0,ns,22160
alloc,,67108864,,,79309153.0,ns,22437
alloc,,67108864,,,80427109.0,ns,22714
alloc,,67108864,,,81455800.0,ns,22991
alloc,,67108864,,,82686929.0,ns,23268
alloc,,67108864,,,83301252.0,ns,23545
alloc,,67108864,,,85145003.0,ns,23822
alloc,,67108864,,,84971157.0,ns,24099
alloc,,67108864,,,86114632.0,ns,24376
alloc,,67108864,,,87461272.0,ns,24653
alloc,,67108864,,,88631931.0,ns,24930
alloc,,67108864,,,90609517.0,ns,25207
alloc,,67108864,,,90198897.0,ns,25484
alloc,,67108864,,,91113778.0,ns,25761
alloc,,67108864,,,93095277.0,ns,26038
alloc,,67108864,,,94160730.0,ns,26315
alloc,,67108864,,,95297953.0,ns,26592
alloc,,67108864,,,95559789.0,ns,26869
alloc,,67108864,,,95302424.0,ns,27146
alloc,,67108864,,,96445172.0,ns,27423
alloc,,67108864,,,97705806.0,ns,27700
