group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
alloc,,16384,,,957201.0,ns,15100
alloc,,16384,,,1935997.0,ns,30200
alloc,,16384,,,3112643.0,ns,45300
alloc,,16384,,,4237501.0,ns,60400
alloc,,16384,,,4849432.0,ns,75500
alloc,,16384,,,5723821.0,ns,90600
alloc,,16384,,,6827571.0,ns,105700
alloc,,16384,,,7720921.0,ns,120800
alloc,,16384,,,8926213.0,ns,135900
alloc,,16384,,,9700934.0,ns,151000
alloc,,16384,,,11942349.0,ns,166100
alloc,,16384,,,12013987.0,ns,181200
alloc,,16384,,,12472184.0,ns,196300
alloc,,16384,,,14554953.0,ns,211400
alloc,,16384,,,14152338.0,ns,226500
alloc,,16384,,,16631263.0,ns,241600
alloc,,16384,,,18306273.0,ns,256700
alloc,,16384,,,18772636.0,ns,271800
alloc,,16384,,,18425290.0,ns,286900
alloc,,16384,,,20615140.0,ns,302000
alloc,,16384,,,20984867.0,ns,317100
alloc,,16384,,,20707324.0,ns,332200
alloc,,16384,,,22317046.0,ns,347300
alloc,,16384,,,23265826.0,ns,362400
alloc,,16384,,,23621891.0,ns,377500
alloc,,16384,,,24542396.0,ns,392600
alloc,,16384,,,27137488.0,ns,407700
alloc,,16384,,,28682881.0,ns,422800
alloc,,16384,,,27197648.0,ns,437900
alloc,,16384,,,36030978.0,ns,453000
alloc,,16384,,,35093803.0,ns,468100
alloc,,16384,,,33500620.0,ns,483200
alloc,,16384,,,33755991.0,ns,498300
alloc,,16384,,,35034258.0,ns,513400
alloc,,16384,,,35565344.0,ns,528500
alloc,,16384,,,35750857.0,ns,543600
alloc,,16384,,,36203234.0,ns,558700
alloc,,16384,,,36826648.0,ns,573800
alloc,,16384,,,41155027.0,ns,588900
alloc,,16384,,,39511092.0,ns,604000
alloc,,16384,,,39640620.0,ns,619100
alloc,,16384,,,39519941.0,ns,634200
alloc,,16384,,,41777031.0,ns,649300
alloc,,16384,,,45614536.0,ns,664400
alloc,,16384,,,42112019.0,ns,679500
alloc,,16384,,,41633168.0,ns,694600
alloc,,16384,,,43082013.0,ns,709700
alloc,,16384,,,50504509.0,ns,724800
alloc,,16384,,,76156934.0,ns,739900
alloc,,16384,,,105766514.0,ns,755000
alloc,,16384,,,95538304.0,ns,770100
alloc,,16384,,,70309800.0,ns,785200
alloc,,16384,,,59033676.0,ns,800300
alloc,,16384,,,52874200.0,ns,815400
alloc,,16384,,,51317106.0,ns,830500
alloc,,16384,,,50358461.0,ns,845600
alloc,,16384,,,50838493.0,ns,860700
alloc,,16384,,,87053882.0,ns,875800
alloc,,16384,,,109417786.0,ns,890900
alloc,,16384,,,115021028.0,ns,906000
alloc,,16384,,,111414969.0,ns,921100
alloc,,16384,,,101235681.0,ns,936200
alloc,,16384,,,96179275.0,ns,951300
alloc,,16384,,,111331653.0,ns,966400
alloc,,16384,,,98039648.0,ns,981500
alloc,,16384,,,120956160.0,ns,996600
alloc,,16384,,,134679080.0,ns,1011700
alloc,,16384,,,84097971.0,ns,1026800
alloc,,16384,,,65649315.0,ns,1041900
alloc,,16384,,,67748793.0,ns,1057000
alloc,,16384,,,63946832.0,ns,1072100
alloc,,16384,,,65691156.0,ns,1087200
alloc,,16384,,,71163382.0,ns,1102300
alloc,,16384,,,71164118.0,ns,1117400
alloc,,16384,,,67912248.0,ns,1132500
alloc,,16384,,,72130607.0,ns,1147600
alloc,,16384,,,69608802.0,ns,1162700
alloc,,16384,,,69554248.0,ns,1177800
alloc,,16384,,,69827673.0,ns,1192900
alloc,,16384,,,70277940.0,ns,1208000
alloc,,16384,,,71642623.0,ns,1223100
alloc,,16384,,,73177674.0,ns,1238200
alloc,,16384,,,75443496.0,ns,1253300
alloc,,16384,,,75012877.0,ns,1268400
alloc,,16384,,,75957951.0,ns,1283500
alloc,,16384,,,77350044.0,ns,1298600
alloc,,16384,,,78535502.0,ns,1313700
alloc,,16384,,,79305305.0,ns,1328800
alloc,,16384,,,83114985.0,ns,1343900
alloc,,16384,,,81902289.0,ns,1359000
alloc,,16384,,,80647542.0,ns,1374100
alloc,,16384,,,82605883.0,ns,1389200
alloc,,16384,,,83069591.0,ns,1404300
alloc,,16384,,,83738158.0,ns,1419400
alloc,,16384,,,85977373.0,ns,1434500
alloc,,16384,,,86522485.0,ns,1449600
alloc,,16384,,,90224088.0,ns,1464700
alloc,,16384,,,92122461.0,ns,1479800
alloc,,16384,,,91807966.0,ns,1494900
alloc,,16384,,,92621859.0,ns,1510000
