group,function,value,sample_time_nanos,iteration_count
detach_from_pool,,536870912,972914,72161
detach_from_pool,,536870912,1940893,144322
detach_from_pool,,536870912,2936838,216483
detach_from_pool,,536870912,3947246,288644
detach_from_pool,,536870912,4850952,360805
detach_from_pool,,536870912,5823191,432966
detach_from_pool,,536870912,6919832,505127
detach_from_pool,,536870912,7874647,577288
detach_from_pool,,536870912,8901489,649449
detach_from_pool,,536870912,10090011,721610
detach_from_pool,,536870912,10669105,793771
detach_from_pool,,536870912,11858947,865932
detach_from_pool,,536870912,13062667,938093
detach_from_pool,,536870912,13595265,1010254
detach_from_pool,,536870912,14624306,1082415
detach_from_pool,,536870912,15783724,1154576
detach_from_pool,,536870912,16566773,1226737
detach_from_pool,,536870912,17503934,1298898
detach_from_pool,,536870912,18522799,1371059
detach_from_pool,,536870912,20056201,1443220
detach_from_pool,,536870912,21067042,1515381
detach_from_pool,,536870912,21789141,1587542
detach_from_pool,,536870912,22676939,1659703
detach_from_pool,,536870912,23428232,1731864
detach_from_pool,,536870912,24582138,1804025
detach_from_pool,,536870912,25354233,1876186
detach_from_pool,,536870912,26282957,1948347
detach_from_pool,,536870912,27243632,2020508
detach_from_pool,,536870912,28274731,2092669
detach_from_pool,,536870912,29273288,2164830
detach_from_pool,,536870912,30081970,2236991
detach_from_pool,,536870912,31253093,2309152
detach_from_pool,,536870912,32068404,2381313
detach_from_pool,,536870912,33184773,2453474
detach_from_pool,,536870912,34024370,2525635
detach_from_pool,,536870912,35178659,2597796
detach_from_pool,,536870912,36006892,2669957
detach_from_pool,,536870912,36877539,2742118
detach_from_pool,,536870912,37873482,2814279
detach_from_pool,,536870912,39197017,2886440
detach_from_pool,,536870912,39895710,2958601
detach_from_pool,,536870912,40709943,3030762
detach_from_pool,,536870912,41675906,3102923
detach_from_pool,,536870912,42893835,3175084
detach_from_pool,,536870912,43614495,3247245
detach_from_pool,,536870912,44577796,3319406
detach_from_pool,,536870912,45751998,3391567
detach_from_pool,,536870912,46558614,3463728
detach_from_pool,,536870912,49893759,3535889
detach_from_pool,,536870912,51742921,3608050
detach_from_pool,,536870912,50943671,3680211
detach_from_pool,,536870912,51175291,3752372
detach_from_pool,,536870912,52119726,3824533
detach_from_pool,,536870912,53165600,3896694
detach_from_pool,,536870912,53707144,3968855
detach_from_pool,,536870912,54911709,4041016
detach_from_pool,,536870912,55322092,4113177
detach_from_pool,,536870912,56378119,4185338
detach_from_pool,,536870912,57279401,4257499
detach_from_pool,,536870912,58431730,4329660
detach_from_pool,,536870912,59324438,4401821
detach_from_pool,,536870912,60329961,4473982
detach_from_pool,,536870912,62784099,4546143
detach_from_pool,,536870912,63106491,4618304
detach_from_pool,,536870912,63478739,4690465
detach_from_pool,,536870912,65139730,4762626
detach_from_pool,,536870912,65710661,4834787
detach_from_pool,,536870912,66587691,4906948
detach_from_pool,,536870912,67425483,4979109
detach_from_pool,,536870912,68865733,5051270
detach_from_pool,,536870912,69064698,5123431
detach_from_pool,,536870912,70343033,5195592
detach_from_pool,,536870912,71034048,5267753
detach_from_pool,,536870912,72132186,5339914
detach_from_pool,,536870912,72909428,5412075
detach_from_pool,,536870912,73831563,5484236
detach_from_pool,,536870912,74900474,5556397
detach_from_pool,,536870912,75838452,5628558
detach_from_pool,,536870912,77190812,5700719
detach_from_pool,,536870912,78745656,5772880
detach_from_pool,,536870912,78997250,5845041
detach_from_pool,,536870912,79967343,5917202
detach_from_pool,,536870912,83451196,5989363
detach_from_pool,,536870912,83117726,6061524
detach_from_pool,,536870912,82567448,6133685
detach_from_pool,,536870912,83525910,6205846
detach_from_pool,,536870912,84604342,6278007
detach_from_pool,,536870912,85557211,6350168
detach_from_pool,,536870912,86796767,6422329
detach_from_pool,,536870912,88051198,6494490
detach_from_pool,,536870912,90084262,6566651
detach_from_pool,,536870912,90026205,6638812
detach_from_pool,,536870912,91019409,6710973
detach_from_pool,,536870912,91834957,6783134
detach_from_pool,,536870912,92976731,6855295
detach_from_pool,,536870912,93849360,6927456
detach_from_pool,,536870912,98987766,6999617
detach_from_pool,,536870912,98785750,7071778
detach_from_pool,,536870912,96033620,7143939
detach_from_pool,,536870912,99602872,7216100
