group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
alloc,,65536,,,872258.0,ns,15700
alloc,,65536,,,1930147.0,ns,31400
alloc,,65536,,,2797301.0,ns,47100
alloc,,65536,,,4546798.0,ns,62800
alloc,,65536,,,4363484.0,ns,78500
alloc,,65536,,,5239954.0,ns,94200
alloc,,65536,,,6132850.0,ns,109900
alloc,,65536,,,6992042.0,ns,125600
alloc,,65536,,,9194657.0,ns,141300
alloc,,65536,,,8720672.0,ns,157000
alloc,,65536,,,9653217.0,ns,172700
alloc,,65536,,,10510589.0,ns,188400
alloc,,65536,,,12692011.0,ns,204100
alloc,,65536,,,12116840.0,ns,219800
alloc,,65536,,,14631890.0,ns,235500
alloc,,65536,,,14123490.0,ns,251200
alloc,,65536,,,15434373.0,ns,266900
alloc,,65536,,,16686394.0,ns,282600
alloc,,65536,,,17946609.0,ns,298300
alloc,,65536,,,17260084.0,ns,314000
alloc,,65536,,,19662330.0,ns,329700
alloc,,65536,,,19101449.0,ns,345400
alloc,,65536,,,29441252.0,ns,361100
alloc,,65536,,,21587694.0,ns,376800
alloc,,65536,,,22007447.0,ns,392500
alloc,,65536,,,22703852.0,ns,408200
alloc,,65536,,,23502268.0,ns,423900
alloc,,65536,,,25800070.0,ns,439600
alloc,,65536,,,25081763.0,ns,455300
alloc,,65536,,,26280218.0,ns,471000
alloc,,65536,,,26749989.0,ns,486700
alloc,,65536,,,28303404.0,ns,502400
alloc,,65536,,,28778822.0,ns,518100
alloc,,65536,,,29655078.0,ns,533800
alloc,,65536,,,30838573.0,ns,549500
alloc,,65536,,,31339970.0,ns,565200
alloc,,65536,,,32872950.0,ns,580900
alloc,,65536,,,34617326.0,ns,596600
alloc,,65536,,,34756769.0,ns,612300
alloc,,65536,,,35589422.0,ns,628000
alloc,,65536,,,36665412.0,ns,643700
alloc,,65536,,,36766987.0,ns,659400
alloc,,65536,,,37986472.0,ns,675100
alloc,,65536,,,39002436.0,ns,690800
alloc,,65536,,,38890256.0,ns,706500
alloc,,65536,,,39800920.0,ns,722200
alloc,,65536,,,41059993.0,ns,737900
alloc,,65536,,,41580455.0,ns,753600
alloc,,65536,,,44096293.0,ns,769300
alloc,,65536,,,44316515.0,ns,785000
alloc,,65536,,,44918464.0,ns,800700
alloc,,65536,,,45658522.0,ns,816400
alloc,,65536,,,46505301.0,ns,832100
alloc,,65536,,,47074944.0,ns,847800
alloc,,65536,,,48967323.0,ns,863500
alloc,,65536,,,48856247.0,ns,879200
alloc,,65536,,,50191250.0,ns,894900
alloc,,65536,,,51534261.0,ns,910600
alloc,,65536,,,52884559.0,ns,926300
alloc,,65536,,,52217297.0,ns,942000
alloc,,65536,,,54355914.0,ns,957700
alloc,,65536,,,54255860.0,ns,973400
alloc,,65536,,,55345315.0,ns,989100
alloc,,65536,,,55725998.0,ns,1004800
alloc,,65536,,,56582660.0,ns,1020500
alloc,,65536,,,57632486.0,ns,1036200
alloc,,65536,,,60797570.0,ns,1051900
alloc,,65536,,,63501240.0,ns,1067600
alloc,,65536,,,61756536.0,ns,1083300
alloc,,65536,,,63716001.0,ns,1099000
alloc,,65536,,,62950081.0,ns,1114700
alloc,,65536,,,63406407.0,ns,1130400
alloc,,65536,,,72382528.0,ns,1146100
alloc,,65536,,,70926514.0,ns,1161800
alloc,,65536,,,74594770.0,ns,1177500
alloc,,65536,,,67725244.0,ns,1193200
alloc,,65536,,,68223945.0,ns,1208900
alloc,,65536,,,68587213.0,ns,1224600
alloc,,65536,,,69396824.0,ns,1240300
alloc,,65536,,,72191973.0,ns,1256000
alloc,,65536,,,75207812.0,ns,1271700
alloc,,65536,,,74524457.0,ns,1287400
alloc,,65536,,,78934579.0,ns,1303100
alloc,,65536,,,77692258.0,ns,1318800
alloc,,65536,,,75250587.0,ns,1334500
alloc,,65536,,,75542237.0,ns,1350200
alloc,,65536,,,79706521.0,ns,1365900
alloc,,65536,,,79166302.0,ns,1381600
alloc,,65536,,,79582435.0,ns,1397300
alloc,,65536,,,79450727.0,ns,1413000
alloc,,65536,,,79819097.0,ns,1428700
alloc,,65536,,,80486640.0,ns,1444400
alloc,,65536,,,81642486.0,ns,1460100
alloc,,65536,,,82249571.0,ns,1475800
alloc,,65536,,,84149936.0,ns,1491500
alloc,,65536,,,90175002.0,ns,1507200
alloc,,65536,,,87773188.0,ns,1522900
alloc,,65536,,,87385266.0,ns,1538600
alloc,,65536,,,96292872.0,ns,1554300
alloc,,65536,,,88796252.0,ns,1570000
