group,function,value,sample_time_nanos,iteration_count
alloc,,65536,980293,22959
alloc,,65536,1960227,45918
alloc,,65536,2942413,68877
alloc,,65536,3921810,91836
alloc,,65536,4902311,114795
alloc,,65536,5883356,137754
alloc,,65536,6870020,160713
alloc,,65536,8446102,183672
alloc,,65536,8833620,206631
alloc,,65536,11821157,229590
alloc,,65536,12034980,252549
alloc,,65536,11768537,275508
alloc,,65536,12753019,298467
alloc,,65536,13728328,321426
alloc,,65536,14713318,344385
alloc,,65536,15689543,367344
alloc,,65536,17354086,390303
alloc,,65536,17657734,413262
alloc,,65536,18690022,436221
alloc,,65536,19612814,459180
alloc,,65536,20596339,482139
alloc,,65536,22059187,505098
alloc,,65536,22584152,528057
alloc,,65536,23557406,551016
alloc,,65536,24548248,573975
alloc,,65536,25535085,596934
alloc,,65536,27038775,619893
alloc,,65536,27692919,642852
alloc,,65536,28553962,665811
alloc,,65536,30122781,688770
alloc,,65536,30413464,711729
alloc,,65536,31515957,734688
alloc,,65536,32847632,757647
alloc,,65536,33799207,780606
alloc,,65536,34819935,803565
alloc,,65536,35774298,826524
alloc,,65536,37352632,849483
alloc,,65536,37741241,872442
alloc,,65536,38688964,895401
alloc,,65536,39741688,918360
alloc,,65536,41808551,941319
alloc,,65536,41465327,964278
alloc,,65536,42962676,987237
alloc,,65536,44210319,1010196
alloc,,65536,44434708,1033155
alloc,,65536,46567502,1056114
alloc,,65536,46505900,1079073
alloc,,65536,47540525,1102032
alloc,,65536,48112494,1124991
alloc,,65536,49060766,1147950
alloc,,65536,50545415,1170909
alloc,,65536,51450503,1193868
alloc,,65536,51985718,1216827
alloc,,65536,52961433,1239786
alloc,,65536,54435278,1262745
alloc,,65536,54949974,1285704
alloc,,65536,56710672,1308663
alloc,,65536,57468079,1331622
alloc,,65536,58447917,1354581
alloc,,65536,58864499,1377540
alloc,,65536,59834891,1400499
alloc,,65536,60805170,1423458
alloc,,65536,62289574,1446417
alloc,,65536,62774802,1469376
alloc,,65536,63842201,1492335
alloc,,65536,66778391,1515294
alloc,,65536,65712731,1538253
alloc,,65536,67251492,1561212
alloc,,65536,68323596,1584171
alloc,,65536,69303440,1607130
alloc,,65536,70222071,1630089
alloc,,65536,70713886,1653048
alloc,,65536,73343751,1676007
alloc,,65536,73219357,1698966
alloc,,65536,73694338,1721925
alloc,,65536,75112025,1744884
alloc,,65536,76090015,1767843
alloc,,65536,76736236,1790802
alloc,,65536,78217465,1813761
alloc,,65536,80157523,1836720
alloc,,65536,81300848,1859679
alloc,,65536,81028917,1882638
alloc,,65536,82070242,1905597
alloc,,65536,83508354,1928556
alloc,,65536,83888068,1951515
alloc,,65536,86215055,1974474
alloc,,65536,85888203,1997433
alloc,,65536,87981794,2020392
alloc,,65536,87659918,2043351
alloc,,65536,88850816,2066310
alloc,,65536,89846449,2089269
alloc,,65536,91631806,2112228
alloc,,65536,92715245,2135187
alloc,,65536,94053430,2158146
alloc,,65536,94332205,2181105
alloc,,65536,95800049,2204064
alloc,,65536,96599094,2227023
alloc,,65536,96869656,2249982
alloc,,65536,103610107,2272941
alloc,,65536,100536745,2295900
