group,function,value,sample_time_nanos,iteration_count
alloc,,4096,978826,24909
alloc,,4096,1976641,49818
alloc,,4096,2956478,74727
alloc,,4096,3956950,99636
alloc,,4096,4925714,124545
alloc,,4096,5911312,149454
alloc,,4096,6900560,174363
alloc,,4096,7893136,199272
alloc,,4096,8851409,224181
alloc,,4096,9887394,249090
alloc,,4096,10813017,273999
alloc,,4096,11814311,298908
alloc,,4096,12943716,323817
alloc,,4096,13771226,348726
alloc,,4096,14791732,373635
alloc,,4096,15748636,398544
alloc,,4096,16770985,423453
alloc,,4096,17728537,448362
alloc,,4096,18708288,473271
alloc,,4096,19723856,498180
alloc,,4096,20619406,523089
alloc,,4096,21579241,547998
alloc,,4096,22569486,572907
alloc,,4096,30025738,597816
alloc,,4096,27793458,622725
alloc,,4096,25550904,647634
alloc,,4096,26564019,672543
alloc,,4096,27564708,697452
alloc,,4096,28496092,722361
alloc,,4096,29540386,747270
alloc,,4096,30465598,772179
alloc,,4096,31408454,797088
alloc,,4096,32401558,821997
alloc,,4096,33404735,846906
alloc,,4096,34380087,871815
alloc,,4096,35306748,896724
alloc,,4096,36339535,921633
alloc,,4096,37282337,946542
alloc,,4096,38274337,971451
alloc,,4096,39250685,996360
alloc,,4096,40364225,1021269
alloc,,4096,41408679,1046178
alloc,,4096,42409214,1071087
alloc,,4096,43353761,1095996
alloc,,4096,44908947,1120905
alloc,,4096,45280418,1145814
alloc,,4096,46219638,1170723
alloc,,4096,47286978,1195632
alloc,,4096,48393593,1220541
alloc,,4096,52722498,1245450
alloc,,4096,50089037,1270359
alloc,,4096,51088250,1295268
alloc,,4096,52004385,1320177
alloc,,4096,53111366,1345086
alloc,,4096,54016102,1369995
alloc,,4096,54959184,1394904
alloc,,4096,55969737,1419813
alloc,,4096,56968363,1444722
alloc,,4096,58008931,1469631
alloc,,4096,58949518,1494540
alloc,,4096,59969418,1519449
alloc,,4096,60957133,1544358
alloc,,4096,62138862,1569267
alloc,,4096,62972446,1594176
alloc,,4096,63932884,1619085
alloc,,4096,64884498,1643994
alloc,,4096,65814449,1668903
alloc,,4096,66856861,1693812
alloc,,4096,67837984,1718721
alloc,,4096,68874614,1743630
alloc,,4096,69842829,1768539
alloc,,4096,73562984,1793448
alloc,,4096,71669421,1818357
alloc,,4096,72576434,1843266
alloc,,4096,73637778,1868175
alloc,,4096,76020105,1893084
alloc,,4096,76162605,1917993
alloc,,4096,77066781,1942902
alloc,,4096,77972347,1967811
alloc,,4096,79449083,1992720
alloc,,4096,80426378,2017629
alloc,,4096,81651255,2042538
alloc,,4096,82254941,2067447
alloc,,4096,83169889,2092356
alloc,,4096,86479705,2117265
alloc,,4096,84360833,2142174
alloc,,4096,85718326,2167083
alloc,,4096,86411830,2191992
alloc,,4096,87823708,2216901
alloc,,4096,88396476,2241810
alloc,,4096,89304712,2266719
alloc,,4096,91902699,2291628
alloc,,4096,91339359,2316537
alloc,,4096,92639325,2341446
alloc,,4096,93647584,2366355
alloc,,4096,94253444,2391264
alloc,,4096,95227756,2416173
alloc,,4096,96635761,2441082
alloc,,4096,97378516,2465991
alloc,,4096,98527143,2490900
