group,function,value,sample_time_nanos,iteration_count
pulling_from_pool,,1048576,996947,98495
pulling_from_pool,,1048576,1970198,196990
pulling_from_pool,,1048576,2977910,295485
pulling_from_pool,,1048576,3961351,393980
pulling_from_pool,,1048576,4943682,492475
pulling_from_pool,,1048576,5942616,590970
pulling_from_pool,,1048576,6914569,689465
pulling_from_pool,,1048576,7926252,787960
pulling_from_pool,,1048576,8886067,886455
pulling_from_pool,,1048576,9900575,984950
pulling_from_pool,,1048576,10920673,1083445
pulling_from_pool,,1048576,11856028,1181940
pulling_from_pool,,1048576,12846329,1280435
pulling_from_pool,,1048576,13836833,1378930
pulling_from_pool,,1048576,14837793,1477425
pulling_from_pool,,1048576,15807853,1575920
pulling_from_pool,,1048576,16820280,1674415
pulling_from_pool,,1048576,17785337,1772910
pulling_from_pool,,1048576,18781800,1871405
pulling_from_pool,,1048576,19767256,1969900
pulling_from_pool,,1048576,20754135,2068395
pulling_from_pool,,1048576,21742178,2166890
pulling_from_pool,,1048576,22744064,2265385
pulling_from_pool,,1048576,23748860,2363880
pulling_from_pool,,1048576,24709420,2462375
pulling_from_pool,,1048576,25702432,2560870
pulling_from_pool,,1048576,26709160,2659365
pulling_from_pool,,1048576,27696872,2757860
pulling_from_pool,,1048576,28653377,2856355
pulling_from_pool,,1048576,29656234,2954850
pulling_from_pool,,1048576,30757076,3053345
pulling_from_pool,,1048576,31703365,3151840
pulling_from_pool,,1048576,32663643,3250335
pulling_from_pool,,1048576,33679609,3348830
pulling_from_pool,,1048576,34649314,3447325
pulling_from_pool,,1048576,35638325,3545820
pulling_from_pool,,1048576,36639157,3644315
pulling_from_pool,,1048576,37547252,3742810
pulling_from_pool,,1048576,38592005,3841305
pulling_from_pool,,1048576,39541616,3939800
pulling_from_pool,,1048576,40543982,4038295
pulling_from_pool,,1048576,41513033,4136790
pulling_from_pool,,1048576,42535038,4235285
pulling_from_pool,,1048576,43793265,4333780
pulling_from_pool,,1048576,44566726,4432275
pulling_from_pool,,1048576,45536975,4530770
pulling_from_pool,,1048576,46526274,4629265
pulling_from_pool,,1048576,47519331,4727760
pulling_from_pool,,1048576,48418221,4826255
pulling_from_pool,,1048576,49443457,4924750
pulling_from_pool,,1048576,50419728,5023245
pulling_from_pool,,1048576,51399212,5121740
pulling_from_pool,,1048576,52542518,5220235
pulling_from_pool,,1048576,53439752,5318730
pulling_from_pool,,1048576,54361441,5417225
pulling_from_pool,,1048576,55426811,5515720
pulling_from_pool,,1048576,56507789,5614215
pulling_from_pool,,1048576,57364975,5712710
pulling_from_pool,,1048576,58371979,5811205
pulling_from_pool,,1048576,59314998,5909700
pulling_from_pool,,1048576,60312979,6008195
pulling_from_pool,,1048576,61294425,6106690
pulling_from_pool,,1048576,62314867,6205185
pulling_from_pool,,1048576,63261885,6303680
pulling_from_pool,,1048576,64465575,6402175
pulling_from_pool,,1048576,65489007,6500670
pulling_from_pool,,1048576,66306129,6599165
pulling_from_pool,,1048576,67343673,6697660
pulling_from_pool,,1048576,68358236,6796155
pulling_from_pool,,1048576,69269061,6894650
pulling_from_pool,,1048576,70307922,6993145
pulling_from_pool,,1048576,71410762,7091640
pulling_from_pool,,1048576,72565068,7190135
pulling_from_pool,,1048576,73008225,7288630
pulling_from_pool,,1048576,74319341,7387125
pulling_from_pool,,1048576,75263204,7485620
pulling_from_pool,,1048576,76236216,7584115
pulling_from_pool,,1048576,77205518,7682610
pulling_from_pool,,1048576,78197253,7781105
pulling_from_pool,,1048576,79150634,7879600
pulling_from_pool,,1048576,80106697,7978095
pulling_from_pool,,1048576,81126431,8076590
pulling_from_pool,,1048576,82072363,8175085
pulling_from_pool,,1048576,83065700,8273580
pulling_from_pool,,1048576,84050049,8372075
pulling_from_pool,,1048576,85113877,8470570
pulling_from_pool,,1048576,86071287,8569065
pulling_from_pool,,1048576,87102253,8667560
pulling_from_pool,,1048576,87987523,8766055
pulling_from_pool,,1048576,88988062,8864550
pulling_from_pool,,1048576,89928334,8963045
pulling_from_pool,,1048576,90928655,9061540
pulling_from_pool,,1048576,92147775,9160035
pulling_from_pool,,1048576,93186343,9258530
pulling_from_pool,,1048576,93903876,9357025
pulling_from_pool,,1048576,94895362,9455520
pulling_from_pool,,1048576,95854163,9554015
pulling_from_pool,,1048576,97041760,9652510
pulling_from_pool,,1048576,98020123,9751005
pulling_from_pool,,1048576,99045836,9849500
