group,function,value,sample_time_nanos,iteration_count
alloc,,4096,1067871,29871
alloc,,4096,1984568,59742
alloc,,4096,3033602,89613
alloc,,4096,3923904,119484
alloc,,4096,4964453,149355
alloc,,4096,5912564,179226
alloc,,4096,7388830,209097
alloc,,4096,7855845,238968
alloc,,4096,9002966,268839
alloc,,4096,9829137,298710
alloc,,4096,10838143,328581
alloc,,4096,11796176,358452
alloc,,4096,12768038,388323
alloc,,4096,13754106,418194
alloc,,4096,14725123,448065
alloc,,4096,15702858,477936
alloc,,4096,16686301,507807
alloc,,4096,17697747,537678
alloc,,4096,18649680,567549
alloc,,4096,19646678,597420
alloc,,4096,20609847,627291
alloc,,4096,21598543,657162
alloc,,4096,22580743,687033
alloc,,4096,23561546,716904
alloc,,4096,24541071,746775
alloc,,4096,25535854,776646
alloc,,4096,26595063,806517
alloc,,4096,27765751,836388
alloc,,4096,28570853,866259
alloc,,4096,29544188,896130
alloc,,4096,30501033,926001
alloc,,4096,31430408,955872
alloc,,4096,32413463,985743
alloc,,4096,33393120,1015614
alloc,,4096,34371204,1045485
alloc,,4096,36450412,1075356
alloc,,4096,36893993,1105227
alloc,,4096,37919684,1135098
alloc,,4096,39145475,1164969
alloc,,4096,39853518,1194840
alloc,,4096,40823900,1224711
alloc,,4096,42337884,1254582
alloc,,4096,43054703,1284453
alloc,,4096,43252606,1314324
alloc,,4096,44188052,1344195
alloc,,4096,45241026,1374066
alloc,,4096,46403294,1403937
alloc,,4096,47140109,1433808
alloc,,4096,48124116,1463679
alloc,,4096,49089402,1493550
alloc,,4096,50122808,1523421
alloc,,4096,51204380,1553292
alloc,,4096,52093682,1583163
alloc,,4096,53455819,1613034
alloc,,4096,53941404,1642905
alloc,,4096,54932533,1672776
alloc,,4096,56455041,1702647
alloc,,4096,56942799,1732518
alloc,,4096,57861612,1762389
alloc,,4096,58938040,1792260
alloc,,4096,59893749,1822131
alloc,,4096,60857382,1852002
alloc,,4096,61813162,1881873
alloc,,4096,63074371,1911744
alloc,,4096,63812943,1941615
alloc,,4096,64718021,1971486
alloc,,4096,65718247,2001357
alloc,,4096,67020665,2031228
alloc,,4096,67662793,2061099
alloc,,4096,69823828,2090970
alloc,,4096,70259678,2120841
alloc,,4096,70611624,2150712
alloc,,4096,71599357,2180583
alloc,,4096,72593698,2210454
alloc,,4096,76146756,2240325
alloc,,4096,74777623,2270196
alloc,,4096,75610220,2300067
alloc,,4096,76660641,2329938
alloc,,4096,83943224,2359809
alloc,,4096,83538304,2389680
alloc,,4096,84289731,2419551
alloc,,4096,87961388,2449422
alloc,,4096,81968943,2479293
alloc,,4096,82462784,2509164
alloc,,4096,86439756,2539035
alloc,,4096,87249009,2568906
alloc,,4096,85298786,2598777
alloc,,4096,86791339,2628648
alloc,,4096,87446601,2658519
alloc,,4096,88299171,2688390
alloc,,4096,89424140,2718261
alloc,,4096,90221774,2748132
alloc,,4096,91206760,2778003
alloc,,4096,92683389,2807874
alloc,,4096,93259033,2837745
alloc,,4096,94132240,2867616
alloc,,4096,95273777,2897487
alloc,,4096,96129689,2927358
alloc,,4096,97298283,2957229
alloc,,4096,98353946,2987100
